codigo,nombre,visa
CCS,Caracas,No
AUA,Aruba,Sí
BON,Bonaire,Sí
CUR,Curazao,Sí
SXM,San Martín,Sí
SDQ,Santo Domingo,Sí
SBH,San Bartolomé,No
POS,Puerto España (Trinidad),No
BGI,Barbados,No
FDF,Fort de France (Martinica),No
PTP,Point-a-Pitre (Guadalupe),No
PAP,Port Au Prince (Haití),No
